Large Transport,,Typical Fighter,,Expensive, complicated brakes,,General aviation and small jets
X,Y,X,Y,X,Y,X,Y
34594620.22,24.46975777,31954987.87,20.37170323,34881679.89,15.80776246,,
35072115.17,24.5360234,32432530.64,20.45127934,35359067.28,15.84407947,,
35549538.42,24.58232328,32910049.49,20.52420022,35836502.47,15.89370698,,
36027057.27,24.65524415,33387580.31,20.60044871,36313889.86,15.93002399,,
36504468.57,24.69821641,33865099.16,20.67336958,36791277.25,15.966341,,
36981987.42,24.77113728,34342641.93,20.7529457,37268700.49,16.01264089,,
37459398.71,24.81410954,34820172.74,20.82919419,37746087.88,16.0489579,,
37936833.91,24.86373704,35297655.74,20.89213219,38223439.41,16.07529204,,
38414293.01,24.9200198,35775138.74,20.95507019,38700850.7,16.1182643,,
38891728.2,24.9696473,36252657.6,21.02799107,39178238.08,16.15458131,,
39369187.3,25.02593006,36730152.56,21.09425669,39655565.71,16.17426021,,
39846562.74,25.05891945,37207611.65,21.15053944,40132953.1,16.21057722,,
40324009.88,25.11187458,37685094.66,21.21347744,40610340.49,16.24689423,,
40801421.18,25.15484683,38162565.71,21.27308782,41087692.02,16.27322837,,
41278832.47,25.19781909,38640024.81,21.32937057,41565043.55,16.29956251,,
41756279.61,25.25077422,39117495.86,21.38898095,42042407.03,16.32922428,,
42233643.1,25.28043599,39594954.96,21.4452637,42519794.42,16.36554129,,
42711042.44,25.32008062,40072414.05,21.50154646,42997098.14,16.37856494,,
43188429.82,25.35639764,40549837.3,21.54784634,43474461.62,16.4082267,,
43665817.21,25.39271465,41027308.35,21.60745672,43951860.96,16.44787134,,
44143180.69,25.42237641,41504731.59,21.6537566,44429200.54,16.47087786,,
44620580.03,25.46202105,41982166.79,21.7033841,44906516.22,16.48722913,,
45097931.56,25.48835519,42459625.89,21.75966686,45383819.94,16.50025277,,
45575271.14,25.51136171,42937037.18,21.80263912,45861171.47,16.52658691,,
46052658.53,25.54767872,43414472.37,21.85226662,46338558.86,16.56290393,,
46530033.96,25.58066811,43891871.71,21.89191126,46815838.68,16.56927233,,
47007361.59,25.600347,44369283,21.93488352,47293214.11,16.60226172,,
47484725.07,25.63000877,44846706.24,21.9811834,47770481.98,16.60530249,,
47962016.85,25.63970479,45324093.63,22.01750041,48247857.42,16.63829188,,
48439380.33,25.66936656,45801504.92,22.06047267,48725137.24,16.64466028,,
48916767.72,25.70568357,46278892.31,22.09678968,49202476.82,16.6676668,,
49394035.58,25.70872434,46756291.65,22.13643432,49679792.49,16.68401807,,
49871387.11,25.73505849,47233643.18,22.16276846,50157084.26,16.69371409,,
50348690.84,25.74808213,47711018.61,22.19575785,50634447.75,16.72337586,,
50825946.75,25.74779529,48188441.86,22.24205773,51111703.66,16.72308901,,
51303250.48,25.76081893,48665817.29,22.27504712,51588959.58,16.72280216,,
51780602.01,25.78715307,49143144.92,22.29472601,52066311.11,16.74913631,,
52257857.92,25.78686623,49620484.5,22.31773253,52543614.83,16.76215995,,
52735161.65,25.79988988,50097895.79,22.36070479,53020870.75,16.76187311,,
53212477.32,25.81624115,50575271.22,22.39369418,53498126.66,16.76158626,,
53689769.09,25.82593717,51052551.04,22.40006258,53975466.24,16.78459278,,
54167025.01,25.82565032,51529926.48,22.43305197,54452781.92,16.80094405,,
54564684.49,25.81043698,52007266.06,22.45605849,54930037.83,16.8006572,,
,,52484605.64,22.479065,55407293.75,16.80037035,,
,,52961981.07,22.51205439,55884549.66,16.80008351,,
,,53439236.99,22.51176755,56361805.58,16.79979666,,
,,53916540.71,22.52479119,56839061.49,16.79950981,,
,,54393892.24,22.55112533,57316317.41,16.79922297,,
,,54871148.16,22.55083849,57634523.88,16.80901461,,
,,55348463.83,22.56718976,,,,
,,55825803.41,22.59019628,,,,
,,56303059.33,22.58990943,,,,
